titulo,link,contenido,horas,fecha_texto,hora_texto,lugar,descripcion,organizador,tipo,texto_embedding,document_type,search_category
Clases de ballet,https://mut.cl/event/clases-de-ballet/,"Clases de ballet...Te invitamos a una mañana de baile y movimiento. Este sábado 25 de octubre, a las 10:00 AM, tendremos una clase de ballet clásico pensada para todas las edades y niveles junto a Nicole Hernández. La jornada terminará con una presentación especial del Pas de Deux de Romeo y Julieta, interpretado por bailarines invitados. ¡Seguimos celebrando la primavera en MUT!Eventos.",10:00,25 de octubre,10:00,Piso -3,"Te invitamos a una mañana de baile y movimiento. Este sábado 25 de octubre, a las 10:00 AM, tendremos una clase de ballet clásico pensada para todas las edades y niveles junto a Nicole Hernández. La jornada terminará con una presentación especial del Pas de Deux de Romeo y Julieta, interpretado por bailarines invitados. ¡Seguimos celebrando la primavera en MUT!",,event,"TIPO: event | EVENTO: Clases de ballet | DESCRIPCION: Te invitamos a una mañana de baile y movimiento. Este sábado 25 de octubre, a las 10:00 AM, tendremos una clase de ballet clásico pensada para todas las edades y niveles junto a Nicole Hernández. La jornada terminará con una presentación especial del Pas de Deux de Romeo y Julieta, interpretado por bailarines invitados. ¡Seguimos celebrando la primavera en MUT! | Clases de ballet...Te invitamos a una mañana de baile y movimiento. Este sábado 25 de octubre, a las 10:00 AM, tendremos una clase de ballet clásico pensada para todas las edades y niveles junto a Nicole Hernández. La jornada terminará con una presentación especial del Pas de Deux de Romeo y Julieta, interpretado por bailarines invitados. ¡Seguimos celebrando la primavera en MUT!Eventos. | FECHA: 25 de octubre | HORA: 10:00 | LUGAR: Piso -3 | HORARIO: 10:00",evento,eventos_y_actividades
Limitless,https://mut.cl/event/limitless/,"Limitless – Just Another AI Exhibition.Entrada liberada..La vanguardia de la innovación y la tecnología se unen en una exhibición disruptiva sobre creatividad, inteligencia artificial y un nuevo mundo digital. Eventos.",10:00 a 20:00,09 al 19 de octubre,10:00 a 20:00,Piso 1,"La vanguardia de la innovación y la tecnología se unen en una exhibición disruptiva sobre creatividad, inteligencia artificial y un nuevo mundo digital.",,event,"TIPO: event | EVENTO: Limitless | DESCRIPCION: La vanguardia de la innovación y la tecnología se unen en una exhibición disruptiva sobre creatividad, inteligencia artificial y un nuevo mundo digital. | Limitless – Just Another AI Exhibition.Entrada liberada..La vanguardia de la innovación y la tecnología se unen en una exhibición disruptiva sobre creatividad, inteligencia artificial y un nuevo mundo digital. Eventos. | FECHA: 09 al 19 de octubre | HORA: 10:00 a 20:00 | LUGAR: Piso 1 | HORARIO: 10:00 a 20:00",evento,eventos_y_actividades
Club de Ropa,https://mut.cl/event/club-de-ropa/,"Club de Ropa...Desde el 10 al 12 de octubre, te invitamos a vivir una experiencia en torno al vestuario, la sostenibilidad y la moda circular. Serán más de 30 expositores de Chile y Latinoamérica que traen y vuelven a dar valor a piezas importadas y recuperadas en distintas ferias y mercados.Eventos.",11:00 a 20:00,10 al 12 de octubre,11:00 a 20:00,Piso 1,"Desde el 10 al 12 de octubre, te invitamos a vivir una experiencia en torno al vestuario, la sostenibilidad y la moda circular. Serán más de 30 expositores de Chile y Latinoamérica que traen y vuelven a dar valor a piezas importadas y recuperadas en distintas ferias y mercados.",,event,"TIPO: event | EVENTO: Club de Ropa | DESCRIPCION: Desde el 10 al 12 de octubre, te invitamos a vivir una experiencia en torno al vestuario, la sostenibilidad y la moda circular. Serán más de 30 expositores de Chile y Latinoamérica que traen y vuelven a dar valor a piezas importadas y recuperadas en distintas ferias y mercados. | Club de Ropa...Desde el 10 al 12 de octubre, te invitamos a vivir una experiencia en torno al vestuario, la sostenibilidad y la moda circular. Serán más de 30 expositores de Chile y Latinoamérica que traen y vuelven a dar valor a piezas importadas y recuperadas en distintas ferias y mercados.Eventos. | FECHA: 10 al 12 de octubre | HORA: 11:00 a 20:00 | LUGAR: Piso 1 | HORARIO: 11:00 a 20:00",evento,eventos_y_actividades
Feria Vinilo Garage,https://mut.cl/event/feria-vinilo-garage/,"Feria Vinilo Garage...En el Mes de la Música, ven a comprar e intercambiar vinilos con disquerías y coleccionistas que traen lo mejor de la música nacional e internacional. Serán más de una decena de expositores que tendrán clásicos, reediciones y lanzamientos recientes.Eventos.",11:00 a 20:00,9 al 12 de octubre,11:00 a 20:00,Piso 1,"En el Mes de la Música, ven a comprar e intercambiar vinilos con disquerías y coleccionistas que traen lo mejor de la música nacional e internacional. Serán más de una decena de expositores que tendrán clásicos, reediciones y lanzamientos recientes.",,event,"TIPO: event | EVENTO: Feria Vinilo Garage | DESCRIPCION: En el Mes de la Música, ven a comprar e intercambiar vinilos con disquerías y coleccionistas que traen lo mejor de la música nacional e internacional. Serán más de una decena de expositores que tendrán clásicos, reediciones y lanzamientos recientes. | Feria Vinilo Garage...En el Mes de la Música, ven a comprar e intercambiar vinilos con disquerías y coleccionistas que traen lo mejor de la música nacional e internacional. Serán más de una decena de expositores que tendrán clásicos, reediciones y lanzamientos recientes.Eventos. | FECHA: 9 al 12 de octubre | HORA: 11:00 a 20:00 | LUGAR: Piso 1 | HORARIO: 11:00 a 20:00",evento,eventos_y_actividades
Concierto de primavera,https://mut.cl/event/concierto-de-primavera/,Concierto de primavera...Ven a cerrar este fin de semana junto a nosotros con un concierto de música inspirada en la primavera. Será una selección de piezas clásicas y contemporáneas para celebrar el renacer de la estación. Abierto a público.Eventos.,17:00,12 de octubre,17:00,Piso 3,Ven a cerrar este fin de semana junto a nosotros con un concierto de música inspirada en la primavera. Será una selección de piezas clásicas y contemporáneas para celebrar el renacer de la estación. Abierto a público.,,event,TIPO: event | EVENTO: Concierto de primavera | DESCRIPCION: Ven a cerrar este fin de semana junto a nosotros con un concierto de música inspirada en la primavera. Será una selección de piezas clásicas y contemporáneas para celebrar el renacer de la estación. Abierto a público. | Concierto de primavera...Ven a cerrar este fin de semana junto a nosotros con un concierto de música inspirada en la primavera. Será una selección de piezas clásicas y contemporáneas para celebrar el renacer de la estación. Abierto a público.Eventos. | FECHA: 12 de octubre | HORA: 17:00 | LUGAR: Piso 3 | HORARIO: 17:00,evento,eventos_y_actividades
Malón de barrio,https://mut.cl/event/malon-de-barrio/,"Malón de barrio...Te invitamos a celebrar la llegada de la primavera con una gran mesa común en el Mercado para compartir en coMUTnidad. Tendremos degustaciones de distintas cocinerías y restaurantes, música, flores y más. Trae tu energía, tu mejor plato o algo rico que encuentres en MUT y súmate a la fiesta. ¡Celebremos juntos el renacer de la naturaleza y la ciudad!Eventos.",11:30,5 de octubre,11:30,Piso -2,"Te invitamos a celebrar la llegada de la primavera con una gran mesa común en el Mercado para compartir en coMUTnidad. Tendremos degustaciones de distintas cocinerías y restaurantes, música, flores y más. Trae tu energía, tu mejor plato o algo rico que encuentres en MUT y súmate a la fiesta. ¡Celebremos juntos el renacer de la naturaleza y la ciudad!",,event,"TIPO: event | EVENTO: Malón de barrio | DESCRIPCION: Te invitamos a celebrar la llegada de la primavera con una gran mesa común en el Mercado para compartir en coMUTnidad. Tendremos degustaciones de distintas cocinerías y restaurantes, música, flores y más. Trae tu energía, tu mejor plato o algo rico que encuentres en MUT y súmate a la fiesta. ¡Celebremos juntos el renacer de la naturaleza y la ciudad! | Malón de barrio...Te invitamos a celebrar la llegada de la primavera con una gran mesa común en el Mercado para compartir en coMUTnidad. Tendremos degustaciones de distintas cocinerías y restaurantes, música, flores y más. Trae tu energía, tu mejor plato o algo rico que encuentres en MUT y súmate a la fiesta. ¡Celebremos juntos el renacer de la naturaleza y la ciudad!Eventos. | FECHA: 5 de octubre | HORA: 11:30 | LUGAR: Piso -2 | HORARIO: 11:30",evento,eventos_y_actividades
Mercado Primavera,https://mut.cl/event/mercado-primavera/,"Mercado Primavera...Reunimos a expositores que ofrecen todo lo que necesita para conectar con la estación: semillas, bulbos, almácigos, flores de corte, artesanías y diseño, todo inspirado en la naturaleza y la primavera.Eventos.",11:00 a 20:00,4 y 5 de octubre,11:00 a 20:00,Piso 3,"Reunimos a expositores que ofrecen todo lo que necesita para conectar con la estación: semillas, bulbos, almácigos, flores de corte, artesanías y diseño, todo inspirado en la naturaleza y la primavera.",,event,"TIPO: event | EVENTO: Mercado Primavera | DESCRIPCION: Reunimos a expositores que ofrecen todo lo que necesita para conectar con la estación: semillas, bulbos, almácigos, flores de corte, artesanías y diseño, todo inspirado en la naturaleza y la primavera. | Mercado Primavera...Reunimos a expositores que ofrecen todo lo que necesita para conectar con la estación: semillas, bulbos, almácigos, flores de corte, artesanías y diseño, todo inspirado en la naturaleza y la primavera.Eventos. | FECHA: 4 y 5 de octubre | HORA: 11:00 a 20:00 | LUGAR: Piso 3 | HORARIO: 11:00 a 20:00",evento,eventos_y_actividades
Fonda MUT,https://mut.cl/event/fonda-mut/,"Fonda MUT..IMPORTANTE: 18 y 19 de septiembre, MUT estará cerrado por feriado irrenunciable..Celebremos en comunidad durante todo el mes con música en vivo, grupos de baile, clases de cueca, talleres y los clásicos juegos tradicionales que hacen que septiembre sea entretenido y distinto. Revisa la programación completa en nuestras redes sociales.Eventos.",,12 al 21 de septiembre,,Todo MUT,"Celebremos en comunidad durante todo el mes con música en vivo, grupos de baile, clases de cueca, talleres y los clásicos juegos tradicionales que hacen que septiembre sea entretenido y distinto. Revisa la programación completa en nuestras redes sociales.",MUT,event,"TIPO: event | EVENTO: Fonda MUT | DESCRIPCION: Celebremos en comunidad durante todo el mes con música en vivo, grupos de baile, clases de cueca, talleres y los clásicos juegos tradicionales que hacen que septiembre sea entretenido y distinto. Revisa la programación completa en nuestras redes sociales. | Fonda MUT..IMPORTANTE: 18 y 19 de septiembre, MUT estará cerrado por feriado irrenunciable..Celebremos en comunidad durante todo el mes con música en vivo, grupos de baile, clases de cueca, talleres y los clásicos juegos tradicionales que hacen que septiembre sea entretenido y distinto. Revisa la programación completa en nuestras redes sociales.Eventos. | FECHA: 12 al 21 de septiembre | LUGAR: Todo MUT | ORGANIZADOR: MUT",evento,eventos_y_actividades
Pan Comido,https://mut.cl/event/pan-comido/,"Pan Comido...En MUT queremos celebrar el pan como alimento, símbolo de encuentro y tradición. Por eso creamos Pan Comido, que se realizará el 23 y 24 de agosto. Súmate a este encuentro donde además tendremos talleres, exhibiciones artísticas, conversaciones, todo con el pan como protagonista.Eventos.",,23 y 24 de agosto,,Piso 1,"En MUT queremos celebrar el pan como alimento, símbolo de encuentro y tradición. Por eso creamos Pan Comido, que se realizará el 23 y 24 de agosto. Súmate a este encuentro donde además tendremos talleres, exhibiciones artísticas, conversaciones, todo con el pan como protagonista.",Pan Comido,event,"TIPO: event | EVENTO: Pan Comido | DESCRIPCION: En MUT queremos celebrar el pan como alimento, símbolo de encuentro y tradición. Por eso creamos Pan Comido, que se realizará el 23 y 24 de agosto. Súmate a este encuentro donde además tendremos talleres, exhibiciones artísticas, conversaciones, todo con el pan como protagonista. | Pan Comido...En MUT queremos celebrar el pan como alimento, símbolo de encuentro y tradición. Por eso creamos Pan Comido, que se realizará el 23 y 24 de agosto. Súmate a este encuentro donde además tendremos talleres, exhibiciones artísticas, conversaciones, todo con el pan como protagonista.Eventos. | FECHA: 23 y 24 de agosto | LUGAR: Piso 1 | ORGANIZADOR: Pan Comido",evento,eventos_y_actividades
Puro Pisco,https://mut.cl/event/puro-pisco/,"Encuentro Puro Pisco...Este 14, 15 y 16 de agosto, ven a descubrir la identidad del pisco chileno en Puro Pisco, evento en el que reuniremos más de 30 pisqueras de las regiones de Atacama y Coquimbo para mostrar la diversidad del destilado nacional, con degustaciones, coctelería y talleres para aprender a catar y preparar tragos que puedes hacer en tu casa.Eventos.",,14 al 16 de agosto,,Piso 2,"Este 14, 15 y 16 de agosto, ven a descubrir la identidad del pisco chileno en Puro Pisco, evento en el que reuniremos más de 30 pisqueras de las regiones de Atacama y Coquimbo para mostrar la diversidad del destilado nacional, con degustaciones, coctelería y talleres para aprender a catar y preparar tragos que puedes hacer en tu casa.",Puro Pisco,event,"TIPO: event | EVENTO: Puro Pisco | DESCRIPCION: Este 14, 15 y 16 de agosto, ven a descubrir la identidad del pisco chileno en Puro Pisco, evento en el que reuniremos más de 30 pisqueras de las regiones de Atacama y Coquimbo para mostrar la diversidad del destilado nacional, con degustaciones, coctelería y talleres para aprender a catar y preparar tragos que puedes hacer en tu casa. | Encuentro Puro Pisco...Este 14, 15 y 16 de agosto, ven a descubrir la identidad del pisco chileno en Puro Pisco, evento en el que reuniremos más de 30 pisqueras de las regiones de Atacama y Coquimbo para mostrar la diversidad del destilado nacional, con degustaciones, coctelería y talleres para aprender a catar y preparar tragos que puedes hacer en tu casa.Eventos. | FECHA: 14 al 16 de agosto | LUGAR: Piso 2 | ORGANIZADOR: Puro Pisco",evento,eventos_y_actividades
Interludio CNC,https://mut.cl/event/interludio-cnc/,"Interludio Clásica No Convencional...En esta edición de CNC Interludio, te invitamos a un viaje íntimo por las emociones que dieron vida a las composiciones de Vivaldi y Beethoven. Junto a las grandes compositoras chilenas Tamara Miller y Lucía Jiménez.Eventos.",,09 de Agosto,,Piso 2,"En esta edición de CNC Interludio, te invitamos a un viaje íntimo por las emociones que dieron vida a las composiciones de Vivaldi y Beethoven. Junto a las grandes compositoras chilenas Tamara Miller y Lucía Jiménez.",Clásica No Convencional,event,"TIPO: event | EVENTO: Interludio CNC | DESCRIPCION: En esta edición de CNC Interludio, te invitamos a un viaje íntimo por las emociones que dieron vida a las composiciones de Vivaldi y Beethoven. Junto a las grandes compositoras chilenas Tamara Miller y Lucía Jiménez. | Interludio Clásica No Convencional...En esta edición de CNC Interludio, te invitamos a un viaje íntimo por las emociones que dieron vida a las composiciones de Vivaldi y Beethoven. Junto a las grandes compositoras chilenas Tamara Miller y Lucía Jiménez.Eventos. | FECHA: 09 de Agosto | LUGAR: Piso 2 | ORGANIZADOR: Clásica No Convencional",evento,eventos_y_actividades
Expo Patagonia Lanas 2025,https://mut.cl/event/expo-patagonia-lanas-2025/,Talleres Expo Patagonia Lanas 2025...Participa de talleres especialmente pensados para aprender y experimentar con la lana como materia prima. Eventos.,,30 de Mayo al 01 de Junio,,Piso 3,Participa de talleres especialmente pensados para aprender y experimentar con la lana como materia prima.,Artesanos y Artesanas de Coyhaique,event,TIPO: event | EVENTO: Expo Patagonia Lanas 2025 | DESCRIPCION: Participa de talleres especialmente pensados para aprender y experimentar con la lana como materia prima. | Talleres Expo Patagonia Lanas 2025...Participa de talleres especialmente pensados para aprender y experimentar con la lana como materia prima. Eventos. | FECHA: 30 de Mayo al 01 de Junio | LUGAR: Piso 3 | ORGANIZADOR: Artesanos y Artesanas de Coyhaique,evento,eventos_y_actividades
