titulo,link,contenido,horas,fecha_texto,hora_texto,lugar,descripcion,organizador,tipo,texto_embedding,document_type,search_category
Charla: Introducción al Reino Fungi,https://mut.cl/event/charla-introduccion-al-reino-fungi/,"Charla: Introducción al Reino Fungi.Por Dr. Carlos Andrés Gil, Biotecnólogo y microbiólogo..En el marco de la exposición [FUN]GI, esta charla invita a explorar y profundizar en el reino fungi desde una mirada científica. A cargo del Dr. Carlos Andrés Gil, la instancia abordará conceptos fundamentales sobre la estructura, fisiología y comportamiento de los hongos, así como su rol esencial en el equilibrio ecológico. Una actividad pensada para quienes buscan comprender la profundidad y relevancia de estos organismos como sostenedores de la vida y regulación de los ecosistemas.Talleres y cursos.",12:00,Domingo 1 de junio,12:00 hrs,Piso -3,"En el marco de la exposición [FUN]GI, esta charla invita a explorar y profundizar en el reino fungi desde una mirada científica. A cargo del Dr. Carlos Andrés Gil, la instancia abordará conceptos fundamentales sobre la estructura, fisiología y comportamiento de los hongos, así como su rol esencial en el equilibrio ecológico. Una actividad pensada para quienes buscan comprender la profundidad y relevancia de estos organismos como sostenedores de la vida y regulación de los ecosistemas.","Dr. Carlos Andrés Gil, Biotecnólogo y microbiólogo",event,"TIPO: event | EVENTO: Charla: Introducción al Reino Fungi | DESCRIPCION: En el marco de la exposición [FUN]GI, esta charla invita a explorar y profundizar en el reino fungi desde una mirada científica. A cargo del Dr. Carlos Andrés Gil, la instancia abordará conceptos fundamentales sobre la estructura, fisiología y comportamiento de los hongos, así como su rol esencial en el equilibrio ecológico. Una actividad pensada para quienes buscan comprender la profundidad y relevancia de estos organismos como sostenedores de la vida y regulación de los ecosistemas. | Charla: Introducción al Reino Fungi.Por Dr. Carlos Andrés Gil, Biotecnólogo y microbiólogo..En el marco de la exposición [FUN]GI, esta charla invita a explorar y profundizar en el reino fungi desde una mirada científica. A cargo del Dr. Carlos Andrés Gil, la instancia abordará conceptos fundamentales sobre la estructura, fisiología y comportamiento de los hongos, así como su rol esencial en el equilibrio ecológico. Una actividad pensada para quienes buscan comprender la profundidad y relevancia de estos organismos como sostenedores de la vida y regulación de los ecosistemas.Talleres y cursos. | FECHA: Domingo 1 de junio | HORA: 12:00 hrs | LUGAR: Piso -3 | HORARIO: 12:00 | ORGANIZADOR: Dr. Carlos Andrés Gil, Biotecnólogo y microbiólogo",evento,eventos_y_actividades
Taller: Aprendiendo a dibujar con hongos,https://mut.cl/event/taller-aprendiendo-a-dibujar-con-hongos/,"Taller: Aprendiendo a dibujar con hongos.Por Marie Pascale Sabelle, Ilustradora..En el marco de la exposición de [FUN]GI que se está presentando durante todo mayo en el piso -3, invitamos a todos los que sienten curiosidad por el dibujo y la naturaleza. Se entregarán todas las herramientas para que puedan retratar la belleza de los hongos de una manera realista y armónica. *Edad mínima: 16 años *Incluye todos los materialesTalleres y cursos.",11:00,Sábado 31 de mayo,11:00 hrs,Piso -3,"En el marco de la exposición de [FUN]GI que se está presentando durante todo mayo en el piso -3, invitamos a todos los que sienten curiosidad por el dibujo y la naturaleza. Se entregarán todas las herramientas para que puedan retratar la belleza de los hongos de una manera realista y armónica. *Edad mínima: 16 años *Incluye todos los materiales","Marie Pascale Sabelle, Ilustradora",event,"TIPO: event | EVENTO: Taller: Aprendiendo a dibujar con hongos | DESCRIPCION: En el marco de la exposición de [FUN]GI que se está presentando durante todo mayo en el piso -3, invitamos a todos los que sienten curiosidad por el dibujo y la naturaleza. Se entregarán todas las herramientas para que puedan retratar la belleza de los hongos de una manera realista y armónica. *Edad mínima: 16 años *Incluye todos los materiales | Taller: Aprendiendo a dibujar con hongos.Por Marie Pascale Sabelle, Ilustradora..En el marco de la exposición de [FUN]GI que se está presentando durante todo mayo en el piso -3, invitamos a todos los que sienten curiosidad por el dibujo y la naturaleza. Se entregarán todas las herramientas para que puedan retratar la belleza de los hongos de una manera realista y armónica. *Edad mínima: 16 años *Incluye todos los materialesTalleres y cursos. | FECHA: Sábado 31 de mayo | HORA: 11:00 hrs | LUGAR: Piso -3 | HORARIO: 11:00 | ORGANIZADOR: Marie Pascale Sabelle, Ilustradora",evento,eventos_y_actividades
Charla: Una nueva materialidad inspirada en la inteligencia de la naturaleza,https://mut.cl/event/charla-una-nueva-materialidad-inspirada-en-la-inteligencia-de-la-naturaleza/,"Charla: Una nueva materialidad inspirada en la inteligencia de la naturaleza.Por Spora Foundation..En esta presentación, Hernán Rebolledo compartirá la visión de Spora, plataforma chilena de biodescubrimiento pionera en el desarrollo de nuevas materialidades a partir de hongos. A través de expediciones científicas en ecosistemas de alto valor ecológico, Spora transforma el potencial del micelio en una nueva categoría de materiales sostenibles, con aplicaciones en diseño, arquitectura y mucho más. Una oportunidad para conocer cómo la innovación, la tecnología y la biodiversidad pueden converger para proponer soluciones regenerativas desde el sur del mundo.",18:30,Jueves 29 de mayo,18:30 hrs,Piso -3,"En esta presentación, Hernán Rebolledo compartirá la visión de Spora, plataforma chilena de biodescubrimiento pionera en el desarrollo de nuevas materialidades a partir de hongos. A través de expediciones científicas en ecosistemas de alto valor ecológico, Spora transforma el potencial del micelio en una nueva categoría de materiales sostenibles, con aplicaciones en diseño, arquitectura y mucho más. Una oportunidad para conocer cómo la innovación, la tecnología y la biodiversidad pueden converger para proponer soluciones regenerativas desde el sur del mundo.",Spora Foundation,event,"TIPO: event | EVENTO: Charla: Una nueva materialidad inspirada en la inteligencia de la naturaleza | DESCRIPCION: En esta presentación, Hernán Rebolledo compartirá la visión de Spora, plataforma chilena de biodescubrimiento pionera en el desarrollo de nuevas materialidades a partir de hongos. A través de expediciones científicas en ecosistemas de alto valor ecológico, Spora transforma el potencial del micelio en una nueva categoría de materiales sostenibles, con aplicaciones en diseño, arquitectura y mucho más. Una oportunidad para conocer cómo la innovación, la tecnología y la biodiversidad pueden converger para proponer soluciones regenerativas desde el sur del mundo. | Charla: Una nueva materialidad inspirada en la inteligencia de la naturaleza.Por Spora Foundation..En esta presentación, Hernán Rebolledo compartirá la visión de Spora, plataforma chilena de biodescubrimiento pionera en el desarrollo de nuevas materialidades a partir de hongos. A través de expediciones científicas en ecosistemas de alto valor ecológico, Spora transforma el potencial del micelio en una nueva categoría de materiales sostenibles, con aplicaciones en diseño, arquitectura y mucho más. Una oportunidad para conocer cómo la innovación, la tecnología y la biodiversidad pueden converger para proponer soluciones regenerativas desde el sur del mundo. | FECHA: Jueves 29 de mayo | HORA: 18:30 hrs | LUGAR: Piso -3 | HORARIO: 18:30 | ORGANIZADOR: Spora Foundation",evento,eventos_y_actividades
Taller “La magia de Chile” junto a @capricornio_demar,https://mut.cl/event/taller-la-magia-de-chile-junto-a-capricornio_demar/,"Taller “La magia de Chile” junto a @capricornio_demar.Por The Color Shop..Te invitamos a ser parte de un encuentro creativo donde exploraremos los paisajes mágicos de Chile a través del arte y la contemplación. Usaremos “Inspirate”, el libro para colorear, como guía para reconectar con la naturaleza y despertar nuestra creatividad interior. *No se necesitan conocimientos previos. *Incluye todos los materiales.",11:00,Domingo 1 de junio,11:00 hrs,Piso -1,"Te invitamos a ser parte de un encuentro creativo donde exploraremos los paisajes mágicos de Chile a través del arte y la contemplación. Usaremos “Inspirate”, el libro para colorear, como guía para reconectar con la naturaleza y despertar nuestra creatividad interior. *No se necesitan conocimientos previos. *Incluye todos los materiales.",The Color Shop,event,"TIPO: event | EVENTO: Taller “La magia de Chile” junto a @capricornio_demar | DESCRIPCION: Te invitamos a ser parte de un encuentro creativo donde exploraremos los paisajes mágicos de Chile a través del arte y la contemplación. Usaremos “Inspirate”, el libro para colorear, como guía para reconectar con la naturaleza y despertar nuestra creatividad interior. *No se necesitan conocimientos previos. *Incluye todos los materiales. | Taller “La magia de Chile” junto a @capricornio_demar.Por The Color Shop..Te invitamos a ser parte de un encuentro creativo donde exploraremos los paisajes mágicos de Chile a través del arte y la contemplación. Usaremos “Inspirate”, el libro para colorear, como guía para reconectar con la naturaleza y despertar nuestra creatividad interior. *No se necesitan conocimientos previos. *Incluye todos los materiales. | FECHA: Domingo 1 de junio | HORA: 11:00 hrs | LUGAR: Piso -1 | HORARIO: 11:00 | ORGANIZADOR: The Color Shop",evento,eventos_y_actividades
Taller Crea tu banano rectangular con azul klein cabretilla,https://mut.cl/event/taller-crea-tu-banano-rectangular-con-azul-klein-cabretilla/,Taller Crea tu banano rectangular con azul klein cabretilla.Por Ns Leather..Te invitamos a realizar con tus propias manos un banano rectangular con un cuero muy suave llamado Klein cabretilla. *Edad: mínimo 14 años,12:00,Sábado 31 de mayo,12:00 hrs,Piso -1,Te invitamos a realizar con tus propias manos un banano rectangular con un cuero muy suave llamado Klein cabretilla. *Edad: mínimo 14 años,Ns Leather,event,TIPO: event | EVENTO: Taller Crea tu banano rectangular con azul klein cabretilla | DESCRIPCION: Te invitamos a realizar con tus propias manos un banano rectangular con un cuero muy suave llamado Klein cabretilla. *Edad: mínimo 14 años | Taller Crea tu banano rectangular con azul klein cabretilla.Por Ns Leather..Te invitamos a realizar con tus propias manos un banano rectangular con un cuero muy suave llamado Klein cabretilla. *Edad: mínimo 14 años | FECHA: Sábado 31 de mayo | HORA: 12:00 hrs | LUGAR: Piso -1 | HORARIO: 12:00 | ORGANIZADOR: Ns Leather,evento,eventos_y_actividades
Introducción a la aromaterapia y creación de un aromatizante natural personalizado,https://mut.cl/event/introduccion-a-la-aromaterapia-y-creacion-de-un-aromatizante-natural-personalizado/,Introducción a la aromaterapia y creación de un aromatizante natural personalizado.Por Bumi Lifestyle..Acompañanos en una entretenida introducción al mundo de la aromaterapia y uso de los aceites esenciales. Prepararemos un home spray natural personalizable para llevarnos a casa.,11:30,Sábado 31 de mayo,11:30 hrs,Piso -1,Acompañanos en una entretenida introducción al mundo de la aromaterapia y uso de los aceites esenciales. Prepararemos un home spray natural personalizable para llevarnos a casa.,Bumi Lifestyle,event,TIPO: event | EVENTO: Introducción a la aromaterapia y creación de un aromatizante natural personalizado | DESCRIPCION: Acompañanos en una entretenida introducción al mundo de la aromaterapia y uso de los aceites esenciales. Prepararemos un home spray natural personalizable para llevarnos a casa. | Introducción a la aromaterapia y creación de un aromatizante natural personalizado.Por Bumi Lifestyle..Acompañanos en una entretenida introducción al mundo de la aromaterapia y uso de los aceites esenciales. Prepararemos un home spray natural personalizable para llevarnos a casa. | FECHA: Sábado 31 de mayo | HORA: 11:30 hrs | LUGAR: Piso -1 | HORARIO: 11:30 | ORGANIZADOR: Bumi Lifestyle,evento,eventos_y_actividades
Taller de Yoga Facial junto a @yogafacialdakuti,https://mut.cl/event/taller-de-yoga-facial-junto-a-yogafacialdakuti/,"Taller de Yoga Facial junto a @yogafacialdakuti.Por Bom Beauty..Bom Beauty cumple 6 años, y lo celebraremos en una clase de inicio al yoga facial junto a la instructora certificada por Koko Face Yoga, The Yoga Face y Método MASC. Una experiencia para mimarte, tonificar tu piel de forma natural y conectar con tu belleza desde el bienestar. *Tendremos regalos y sorpresas.",11:30,Sábado 31 de mayo,11:30 hrs,Piso -1,"Bom Beauty cumple 6 años, y lo celebraremos en una clase de inicio al yoga facial junto a la instructora certificada por Koko Face Yoga, The Yoga Face y Método MASC. Una experiencia para mimarte, tonificar tu piel de forma natural y conectar con tu belleza desde el bienestar. *Tendremos regalos y sorpresas.",Bom Beauty,event,"TIPO: event | EVENTO: Taller de Yoga Facial junto a @yogafacialdakuti | DESCRIPCION: Bom Beauty cumple 6 años, y lo celebraremos en una clase de inicio al yoga facial junto a la instructora certificada por Koko Face Yoga, The Yoga Face y Método MASC. Una experiencia para mimarte, tonificar tu piel de forma natural y conectar con tu belleza desde el bienestar. *Tendremos regalos y sorpresas. | Taller de Yoga Facial junto a @yogafacialdakuti.Por Bom Beauty..Bom Beauty cumple 6 años, y lo celebraremos en una clase de inicio al yoga facial junto a la instructora certificada por Koko Face Yoga, The Yoga Face y Método MASC. Una experiencia para mimarte, tonificar tu piel de forma natural y conectar con tu belleza desde el bienestar. *Tendremos regalos y sorpresas. | FECHA: Sábado 31 de mayo | HORA: 11:30 hrs | LUGAR: Piso -1 | HORARIO: 11:30 | ORGANIZADOR: Bom Beauty",evento,eventos_y_actividades
Taller Pinta con acrílicos y dale color a tu propia totebag junto a @bolsaspintadasamano,https://mut.cl/event/taller-pinta-con-acrilicos-y-dale-color-a-tu-propia-totebag-junto-a-bolsaspintadasamano/,"Taller pinta con acrílicos y dale color a tu propia totebag junto a @bolsaspintadasamano.Por The Color Shop..Te invitamos a sumergirte en un proceso creativo donde tus ideas se materializan en un accesorio único. Contaremos con materiales a tu disposición, en donde podrás llenar de vida los espacios estampados. Este taller es una oportunidad para aprender dos técnicas artísticas en una sola sesión, llevándote un totebag funcional y completamente original.",11:00,Domingo 25 de mayo,11:00 hrs,Piso -1,"Te invitamos a sumergirte en un proceso creativo donde tus ideas se materializan en un accesorio único. Contaremos con materiales a tu disposición, en donde podrás llenar de vida los espacios estampados. Este taller es una oportunidad para aprender dos técnicas artísticas en una sola sesión, llevándote un totebag funcional y completamente original.",The Color Shop,event,"TIPO: event | EVENTO: Taller Pinta con acrílicos y dale color a tu propia totebag junto a @bolsaspintadasamano | DESCRIPCION: Te invitamos a sumergirte en un proceso creativo donde tus ideas se materializan en un accesorio único. Contaremos con materiales a tu disposición, en donde podrás llenar de vida los espacios estampados. Este taller es una oportunidad para aprender dos técnicas artísticas en una sola sesión, llevándote un totebag funcional y completamente original. | Taller pinta con acrílicos y dale color a tu propia totebag junto a @bolsaspintadasamano.Por The Color Shop..Te invitamos a sumergirte en un proceso creativo donde tus ideas se materializan en un accesorio único. Contaremos con materiales a tu disposición, en donde podrás llenar de vida los espacios estampados. Este taller es una oportunidad para aprender dos técnicas artísticas en una sola sesión, llevándote un totebag funcional y completamente original. | FECHA: Domingo 25 de mayo | HORA: 11:00 hrs | LUGAR: Piso -1 | HORARIO: 11:00 | ORGANIZADOR: The Color Shop",evento,eventos_y_actividades
Taller de Colorimetría: Descubre tus colores,https://mut.cl/event/taller-de-colorimetria/,"Taller de Colorimetría: Descubre tus colores .Por Vístete Local..¿Sabías que hay colores que pueden iluminar tu rostro, suavizar tus facciones y potenciar tu energía natural? Te invitamos a descubrir tus colores según la poderosa teoría de las 4 estaciones, una herramienta esencial del mundo de la imagen y el estilo personal.Talleres y cursos.",12:00 hrs,Sábado 24 de mayo,12:00 hrs,"Piso -1, frente a Café Aura.","¿Sabías que hay colores que pueden iluminar tu rostro, suavizar tus facciones y potenciar tu energía natural? Te invitamos a descubrir tus colores según la poderosa teoría de las 4 estaciones, una herramienta esencial del mundo de la imagen y el estilo personal.",Vístete Local,event,"TIPO: event | EVENTO: Taller de Colorimetría: Descubre tus colores | DESCRIPCION: ¿Sabías que hay colores que pueden iluminar tu rostro, suavizar tus facciones y potenciar tu energía natural? Te invitamos a descubrir tus colores según la poderosa teoría de las 4 estaciones, una herramienta esencial del mundo de la imagen y el estilo personal. | Taller de Colorimetría: Descubre tus colores .Por Vístete Local..¿Sabías que hay colores que pueden iluminar tu rostro, suavizar tus facciones y potenciar tu energía natural? Te invitamos a descubrir tus colores según la poderosa teoría de las 4 estaciones, una herramienta esencial del mundo de la imagen y el estilo personal.Talleres y cursos. | FECHA: Sábado 24 de mayo | HORA: 12:00 hrs | LUGAR: Piso -1, frente a Café Aura. | HORARIO: 12:00 hrs | ORGANIZADOR: Vístete Local",evento,eventos_y_actividades
Taller borda tu jockey,https://mut.cl/event/__trashed-13/,Taller borda tu jockey.por Sin Enredos..Talleres y cursos.,,Sábado 22 de Junio,11:30 hrs,"Piso -1, tienda Sin Enredos",,,event,"TIPO: event | EVENTO: Taller borda tu jockey | Taller borda tu jockey.por Sin Enredos..Talleres y cursos. | FECHA: Sábado 22 de Junio | HORA: 11:30 hrs | LUGAR: Piso -1, tienda Sin Enredos",evento,eventos_y_actividades
Cuentacuentos de Astronomía,https://mut.cl/event/__trashed-11/,Cuentacuentos de Astronomía.por Nicolás Toro y Libro Verde..Talleres y cursos.,12:00,Sab 16 de marzo,12:00 hrs,"Piso 3, Pérgola del Jardín",,Nicolás Toro y Libro Verde,event,"TIPO: event | EVENTO: Cuentacuentos de Astronomía | Cuentacuentos de Astronomía.por Nicolás Toro y Libro Verde..Talleres y cursos. | FECHA: Sab 16 de marzo | HORA: 12:00 hrs | LUGAR: Piso 3, Pérgola del Jardín | HORARIO: 12:00 | ORGANIZADOR: Nicolás Toro y Libro Verde",evento,eventos_y_actividades
Taller de origami inicial junto a Factoría Papel,https://mut.cl/event/taller-de-origami-inicial-junto-a-factoria-papel/,Taller de origami inicial junto a Factoría Papel.Por Claudio Acuña.Valor: $10.000 dupla adulto + niño.Talleres y cursos.,11:00,Sábado 17 de mayo,11:00,"Piso -3, Nave Central",,,event,"TIPO: event | EVENTO: Taller de origami inicial junto a Factoría Papel | Taller de origami inicial junto a Factoría Papel.Por Claudio Acuña.Valor: $10.000 dupla adulto + niño.Talleres y cursos. | FECHA: Sábado 17 de mayo | HORA: 11:00 | LUGAR: Piso -3, Nave Central | HORARIO: 11:00",evento,eventos_y_actividades
Aprende a pintar mariposas en acuarela junto a Javiera Gutierrez,https://mut.cl/event/aprende-a-pintar-mariposas-en-acuarela-junto-a-javiera-gutierrez/,Aprende a pintar mariposas en acuarela junto a Javiera Gutierrez.Por The Color Shop.Valor: $10.000.Talleres y cursos.,1100,Sábado 17 de mayo,11:00,Piso -1 frente a The Color Shop,,,event,TIPO: event | EVENTO: Aprende a pintar mariposas en acuarela junto a Javiera Gutierrez | Aprende a pintar mariposas en acuarela junto a Javiera Gutierrez.Por The Color Shop.Valor: $10.000.Talleres y cursos. | FECHA: Sábado 17 de mayo | HORA: 11:00 | LUGAR: Piso -1 frente a The Color Shop | HORARIO: 1100,evento,eventos_y_actividades
Taller Crea tu cinturón rojo de cuero,https://mut.cl/event/taller-crea-tu-cinturon-rojo-de-cuero/,Taller Crea tu cinturón rojo de cuero.por NS Leather.Valor: $12.000.Eventos.Talleres y cursos.,18:00,Domingo 21 de septiembre,12:00,"Piso -1, afuera de Café Aura",,,event,"TIPO: event | EVENTO: Taller Crea tu cinturón rojo de cuero | Taller Crea tu cinturón rojo de cuero.por NS Leather.Valor: $12.000.Eventos.Talleres y cursos. | FECHA: Domingo 21 de septiembre | HORA: 12:00 | LUGAR: Piso -1, afuera de Café Aura | HORARIO: 18:00",evento,eventos_y_actividades
